,Name,Score,XP
1,kserks2727,317,10036
2,Gurume_umshi,120,4640
3,keeta2014,260,4537
4,Keerin2013,186,4381
5,Арина,99,4053
6,ken kawin,214,3783
7,yenmilee,103,3772
8,IvanIvo,101,3614
9,PumpkinLawn,168,3304
10,Ivan Detkov,75,2938
11,l_s_deus,19,2631
12,richyfourtytwo,79,2609
13,crazypenguin,74,2559
14,Violetta,213,2558
15,kai kawee,168,2552
16,Romart,60,2479
17,wyverx,72,2435
18,ver2xa,111,2391
19,OIL_000,69,2307
20,Arthit,63,2273
21,Nastia,121,2051
22,agnese,68,1913
23,rawu,48,1904
24,Hayatyan,40,1898
25,ooaa,46,1872
26,Ener,36,1872
27,punyisa-MH,60,1865
28,Sunshine123,53,1834
29,Alexey11,55,1833
30,27B27-yuxian,50,1778
31,Jia jie,47,1716
32,aloneal,24,1684
33,Us0kerra,197,1625
34,27B16-Phua,45,1547
35,Citery,75,1525
36,Semetei,24,1461
37,Brigadoon,33,1449
38,Ubergite,104,1438
39,kongbenggggg,59,1437
40,midmit,53,1435
41,Hrewsahgs,37,1394
42,Fon_MH,32,1393
43,OleksandrY,27,1387
44,YarikRo,24,1362
45,SideArket,25,1348
46,Chelpy_kr,34,1331
47,ZeleninDE,59,1247
48,Mila18,42,1239
49,tarantool,21,1236
50,AsyaLark,60,1224
51,Erhan BARIS,48,1196
52,Techin,27,1175
53,Revelation,26,1122
54,Harshit Tiwari,38,1103
55,Piniouf,18,1103
56,Louise Roullier,35,1090
57,Incognito,14,1080
58,คิน วท.นฐ.,25,1073
59,John_Lenin,146,1071
60,felino,110,1052
61,Fanfate,15,1043
62,Djab,12,1008
63,Jslate,25,1000
64,Orinoko,54,996
65,weasy,37,988
66,Yarosurabu,10,980
67,Jokohouse,20,961
68,27B05-wenci,27,943
69,Suhas,21,912
70,dtiger,14,906
71,Zumo,28,905
72,BONUS_MH,29,890
73,kerekecuk,22,888
74,ozgur iscimen,28,859
75,HolyD,19,834
76,27B14-See_Yan,25,826
77,babenko.e,20,820
78,BrokenRobot,20,812
79,go39,9,788
80,27B01-Audrey,23,756
81,kovarex,12,754
82,happybythree,63,741
83,Alina_Cat,20,725
84,Elgizio,60,717
85,Reclusx,19,708
86,Urutman,18,701
87,27B06-jhc,20,697
88,monoid,18,696
89,Tình,93,683
90,Mladen,19,644
91,Miko_boc,18,633
92,Kimok,5,626
93,Imaim,20,621
94,Futsal,20,616
95,cadopasa,26,593
96,Eric Day,44,589
97,27B29-Jy,16,581
98,Sittichok_,13,569
99,Vasiliy,12,567
100,Ivan_P,11,554
101,hoshi911,11,538
102,Алпетр,14,527
103,theo2017,20,525
104,Bekintosh,12,521
105,oreiller,10,493
106,derya,12,482
107,MrX,29,465
108,black monkey_mh,24,465
109,Greg,1,448
110,Grmroman,15,447
111,Chon,10,440
112,suh miko,10,435
113,thida2015,10,427
114,CosmicHawk,5,424
115,anishk,13,412
116,thonthan794,9,411
117,Richert ,8,402
118,Fupfv,1,400
119,TheoSuper,12,389
120,Mizutamari,10,380
121,27B30-weijie,18,377
122,Myco95,12,371
123,phufah,13,368
124,jb0027,9,365
125,Sorry,10,345
126,Master,4,340
127,Hargevian,16,328
128,IvanIgo,7,322
129,ecdave,1,320
130,Hrasek,13,304
131,VikKas,7,300
132,Ludvig,3,298
133,FinnFol,7,292
134,Vincible,7,280
135,twobits,10,270
136,Stepan,27,270
137,posetcay,5,263
138,Larsi,7,261
139,BENOIT,6,260
140,Sheryl,7,259
141,dangquanghieu,16,258
142, Shin,6,248
143,Eulalio,5,237
144,Liuba,25,229
145,mungkung,5,227
146,Fayfay,5,225
147,Mariano,10,209
148,Elphiya,3,208
149,Kiattiyos Laohasurayotin,3,206
150,StephaneLamy,2,206
151,varga,5,179
152,Baiel,5,175
153,E27Adrian,6,172
154,Andrew1723,5,171
155,27B10-guanlam,11,168
156,Jollto,11,163
157,Васюков Кирилл,4,163
158,Kafka,3,154
159,Nursultan,4,139
160,Madec,7,139
161,Atai-D,5,137
162,Patrick361,2,131
163,TSo,3,118
164,jen.jen,2,116
165,Toumitsu,2,97
166,Katy,3,95
167,Nur,2,73
168,Robin22,4,72
169,Hatitze,1,68
170,Mathieu Lalonde,2,65
171,Rippa *,1,60
172,Csabipro,6,55
173,Arcego,2,49
174,Artego,2,39
175,YuriyStepanovich,1,39
176,SofiaQu,1,37
177,1001kyu,1,37
178,Sadaharu,1,25
179,todayagain,1,4
